team Number,nickname,Sykes-Teleop-Takeoff-Points,Sykes-Foul-Points,Sykes-Total-Scored-Gears,Sykes-kPa-Added,Sykes-Total-Points
8,Paly Robotics,20.96,11.98,3.73,-0.55,36.12
100,The WildHats,23.85,0.44,1.18,1.1,63.35
114,Eagle Strike,20.43,8.78,1.37,-0.18,53
115,MVRT,53.4,-1.8,1.15,-0.13,91.72
192,GRT,51.27,6.94,1.42,1.66,111.79
254,The Cheesy Poofs,55.74,4.37,2.09,34.99,146.84
581,Blazing Bulldogs,11.22,6.23,0.31,5.1,52.05
604,Quixilver,40.71,8.11,3.07,0.22,123.01
668,The Apes of Wrath,43.03,12.75,1.96,3.77,95.45
670,Homestead Robotics,2.5,10.79,0.7,0.71,37.28
751,barn2robotics,42.97,6.42,1.6,1.11,95.05
766,M-A Bears,7.97,0.13,1.29,2.24,53.49
841,The BioMechs,2.5,8.1,0.26,0.52,28.19
846,The Funky Monkeys,35.47,6.9,1.48,-0.47,79.56
852,The Athenian Robotics Collective,51.3,3.23,0.8,-0.18,91.34
971,Spartan Robotics,39.52,-0.91,1.38,31.45,122.21
972,Iron Claw,9.05,-1.69,1.24,-0.41,39.8
1280,Ragin' C- Biscuits of San Ramon Valley High,2.47,-1.22,0.37,-0.17,23.62
1868,Space Cookies,26.56,-2.85,-0.37,1.47,54.82
1967,The Janksters,44.9,-3.49,-0.14,-0.77,55.44
2035,Robo Rockin' Bots,13.91,-1.92,1.56,-4.21,76.66
2135,Presentation Invasion,35.52,0.92,1.24,-0.56,72.3
2367,Lancer Robotics,-6.11,2.45,0,0.61,4.99
2468,Team Appreciate,65.11,4.28,1.53,0.05,116.63
2489,The Insomniacs,4.98,-4.32,0.93,-0.62,36.34
2643,Dark Matter,-2.11,6.9,0.05,-1.31,32.91
2813,Gear Heads,-14.04,0.65,-0.08,0.27,8.65
3482,Arrowbotics,20.61,-5.36,0.57,-2.17,57.95
4159,CardinalBotics,34.15,1.19,1.76,0.5,86.65
4186,Alameda Aztechs,40.97,0.21,0.52,-0.1,77.19
4255,RoboDores,6.89,-4.12,1.38,-0.14,48.91
4904,Bot-Provoking,45.27,-5.62,0.74,-0.29,92.09
4990,Gryphon Robotics,24.52,22.55,0.42,-1.9,54.81
5026,Iron Panthers,11.02,-0.79,3.47,-0.92,78.47
5104,BreakerBots,15.59,6.25,1.79,2.27,68.61
5677,The Subatomic Smarticles,26.37,-2.85,-0.35,1.73,37.61
5737,Mars Style,10.11,13.32,1.86,0.91,59.98
5924,The Cat Machine,15,10.97,0.86,-1.72,41.74
5940,B.R.E.A.D.,53.78,3.16,0.48,-3.54,72.8
6036,Peninsula Robotics,43.35,7.93,1.81,2.89,85.59
6059,System Overload Robotics,-3.38,8.48,0.32,0.65,13.37
6619,GravitechX,-22.55,0.13,0.46,-1.01,8.19
